step,loss,bellman_loss,conservative_penalty,q_dataset_mean,q_max_mean,ood_gap
1,4.537217140197754,4.537217140197754,0.0,0.19213049113750458,0.643210768699646,0.4510802626609802
100,2.046386480331421,2.046386480331421,0.0,0.7851060032844543,2.1496236324310303,1.3645174503326416
200,1.7599198818206787,1.7599198818206787,0.0,2.081157684326172,3.448181390762329,1.3670237064361572
300,1.3712767362594604,1.3712767362594604,0.0,3.3530757427215576,5.015741348266602,1.662665843963623
400,1.4403269290924072,1.4403269290924072,0.0,5.07447624206543,6.59680700302124,1.5223305225372314
500,1.1983380317687988,1.1983380317687988,0.0,6.821341514587402,8.540145874023438,1.7188047170639038
600,0.9343530535697937,0.9343530535697937,0.0,8.139741897583008,10.192926406860352,2.053185224533081
700,1.3508822917938232,1.3508822917938232,0.0,10.369914054870605,12.42403507232666,2.054121732711792
800,1.1415828466415405,1.1415828466415405,0.0,12.605096817016602,14.842239379882812,2.237143039703369
900,1.1934466361999512,1.1934466361999512,0.0,14.916248321533203,17.32817268371582,2.411923885345459
1000,1.110429286956787,1.110429286956787,0.0,16.917316436767578,19.579246520996094,2.661930799484253
1100,1.607375979423523,1.607375979423523,0.0,20.013906478881836,22.955074310302734,2.9411683082580566
1200,1.736135482788086,1.736135482788086,0.0,22.03874969482422,25.694673538208008,3.6559226512908936
1300,1.7782669067382812,1.7782669067382812,0.0,24.31346321105957,28.328006744384766,4.0145463943481445
1400,1.985973834991455,1.985973834991455,0.0,27.996381759643555,31.38823890686035,3.391857624053955
1500,2.0013833045959473,2.0013833045959473,0.0,31.505313873291016,35.30259323120117,3.79728364944458
