step,loss,bellman_loss,conservative_penalty,q_dataset_mean,q_max_mean,ood_gap
1,4.422719955444336,4.305242538452148,2.349546194076538,0.1600322127342224,0.7449848651885986,0.5849525928497314
100,2.4224870204925537,2.2875401973724365,2.6989359855651855,0.6984808444976807,1.9392870664596558,1.2408061027526855
200,2.0713143348693848,1.9416813850402832,2.5926597118377686,1.9845094680786133,3.2663650512695312,1.281855583190918
300,2.427250623703003,2.3033201694488525,2.478609800338745,3.437507152557373,4.652774810791016,1.2152674198150635
400,1.079490065574646,0.9530826807022095,2.5281472206115723,5.014239311218262,6.297956466674805,1.2837178707122803
500,0.8713244795799255,0.7435586452484131,2.55531644821167,6.062116622924805,7.8412556648254395,1.7791389226913452
600,1.070769190788269,0.9365332126617432,2.6847190856933594,7.773781776428223,9.358600616455078,1.584817886352539
700,0.8411224484443665,0.7054826021194458,2.712797164916992,9.059162139892578,10.745368957519531,1.6862072944641113
800,0.8435120582580566,0.6943386793136597,2.9834671020507812,10.868637084960938,12.584163665771484,1.7155247926712036
900,0.8991109728813171,0.7432831525802612,3.116556167602539,12.814603805541992,14.649767875671387,1.8351638317108154
1000,1.0026472806930542,0.8649197220802307,2.7545509338378906,14.782831192016602,16.643156051635742,1.8603239059448242
1100,1.054145097732544,0.9092585444450378,2.8977317810058594,15.54781723022461,17.781986236572266,2.2341701984405518
1200,0.7739110589027405,0.6364392042160034,2.7494373321533203,18.4976749420166,20.693449020385742,2.195774793624878
1300,1.1756699085235596,1.0287995338439941,2.937408447265625,20.381250381469727,22.641536712646484,2.260287284851074
1400,1.0074635744094849,0.8485842347145081,3.1775875091552734,22.216537475585938,24.30274772644043,2.086211681365967
1500,1.3074514865875244,1.1443846225738525,3.2613372802734375,23.895050048828125,26.96942901611328,3.0743792057037354
