episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,1559.8350000000019,1542.9349999999995,161,0.988,11.722080782379793,0.0,0,138,159,157,3,1,0,125,9,2,28.665000000001683,2.1613200000000132,0.9328358208955224
2,1362.890000000002,1348.9399999999996,157,0.976144,11.98932769090222,0.0,0,261,314,155,1,1,0,122,20,2,25.910000000001222,3.5418852459016494,0.8591549295774648
3,1539.1460000000018,1524.4959999999987,162,0.964430272,12.073225600454514,0.0,0,386,476,159,1,2,0,122,9,2,27.05400000000146,2.179131147540996,0.9312977099236641
4,1363.2320000000009,1333.6819999999998,164,0.9528571087359999,12.356917002147473,0.0,0,515,640,164,0,0,0,130,22,3,27.16800000000144,4.013600000000011,0.8552631578947368
5,1290.5340000000015,1262.9840000000004,143,0.9414228234311679,12.80628416141482,0.0,0,622,780,142,0,1,0,112,11,3,25.166000000001162,3.120232142857153,0.9105691056910569
6,1593.3160000000012,1572.8660000000002,171,0.9301257495499938,12.138679040808295,0.0,0,749,950,171,0,0,0,133,15,2,29.084000000001833,2.7194285714285855,0.8986486486486487
7,1859.3579999999993,1845.057999999999,182,0.9189642405553939,11.927410933240266,0.0,0,866,1132,180,0,2,0,144,9,2,31.242000000002108,1.8794583333333479,0.9411764705882353
8,1532.8760000000013,1507.325999999999,158,0.9079366696687292,12.353186870642196,0.0,0,962,1289,157,0,1,0,122,5,3,26.224000000001414,2.1075737704918147,0.9606299212598425
9,1705.7510000000007,1690.9509999999993,164,0.8970414296327045,12.608214416647636,0.0,0,1060,1453,164,0,0,0,127,3,2,27.84900000000162,1.372039370078753,0.9769230769230769
10,1512.194000000001,1510.094,165,0.886276932477112,11.047689586228719,0.0,0,1172,1618,161,2,2,0,126,17,1,27.106000000001465,2.6810000000000116,0.8811188811188811
11,1145.8170000000005,1106.3169999999993,135,0.8756416092873867,12.632926515648487,0.0,0,1263,1752,134,0,1,0,106,12,4,23.483000000000864,3.860216981132084,0.8983050847457628
12,1292.4180000000006,1256.9680000000005,161,0.865133909975938,12.815577689326883,0.0,0,1352,1912,161,0,0,0,125,18,4,27.98200000000158,4.100656000000012,0.8741258741258742
13,1331.1090000000006,1292.0089999999998,148,0.8547523030562267,12.930282132259595,0.0,0,1425,2060,148,0,0,0,111,6,4,26.591000000001397,2.8728918918919044,0.9487179487179487
14,849.7949999999996,823.345,149,0.844495275419552,11.822042859315673,0.0,0,1528,2208,146,0,3,0,113,40,3,24.205000000000982,6.9487168141593,0.738562091503268
15,1464.7530000000015,1435.7030000000004,154,0.8343613321145175,13.090865256301091,0.0,0,1620,2359,154,0,0,0,122,6,4,26.4470000000013,2.6659590163934537,0.953125
16,1339.0730000000005,1321.0230000000004,146,0.8243489961291433,12.662336531337607,0.0,0,1698,2503,144,2,0,0,116,16,2,23.827000000000957,3.197646551724146,0.8787878787878788
17,1539.429000000002,1537.8289999999995,160,0.8144568081755935,12.902670076780486,0.0,0,1791,2662,155,1,4,0,121,11,1,26.97100000000134,2.029512396694226,0.9166666666666666
18,751.7460000000001,712.6459999999996,133,0.8046833264774864,15.26109549462361,0.0,0,1864,2795,132,0,1,0,103,34,4,23.75400000000091,7.216058252427193,0.7518248175182481
19,1471.1380000000004,1452.7380000000003,168,0.7950271265597566,12.565101650840093,0.0,0,1957,2961,165,1,2,0,130,21,2,28.462000000001655,3.4527846153846284,0.8609271523178808
20,1073.8390000000002,1044.0890000000002,135,0.7854868010410395,13.283817433772816,0.0,0,2039,3096,135,0,0,0,106,20,3,22.96100000000078,4.492084905660385,0.8412698412698413
21,1559.3480000000004,1534.0479999999998,160,0.776060959428547,12.541178748942912,0.0,0,2101,3255,158,1,1,0,125,7,3,27.552000000001524,2.285216000000012,0.946969696969697
22,1329.913000000001,1303.6629999999996,144,0.7667482279154044,13.323156162009886,0.0,0,2162,3399,143,0,1,0,113,10,3,25.78700000000119,2.92112389380532,0.9186991869918699
