episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,1559.8350000000019,1542.9349999999995,161,0.988,12.579952630613532,7.6653016462844485,9543,138,4981,157,3,1,0,125,9,2,28.665000000001683,2.1613200000000132,0.9328358208955224
2,1362.890000000002,1348.9399999999996,157,0.976144,32.96664469349821,11.386200818501713,9420,261,10918,155,1,1,0,122,20,2,25.910000000001222,3.5418852459016494,0.8591549295774648
3,1539.1460000000018,1524.4959999999987,162,0.964430272,22.450763349840273,9.3320984705976,9720,386,20644,159,1,2,0,122,9,2,27.05400000000146,2.179131147540996,0.9312977099236641
4,1363.2320000000009,1333.6819999999998,164,0.9528571087359999,19.545910768415325,12.646570805272438,9840,515,31062,164,0,0,0,130,22,3,27.16800000000144,4.013600000000011,0.8552631578947368
5,1290.5340000000015,1262.9840000000004,143,0.9414228234311679,22.182468242826058,6.509462804574788,8580,622,47771,142,0,1,0,112,11,3,25.166000000001162,3.120232142857153,0.9105691056910569
6,1593.3160000000012,1572.8660000000002,171,0.9301257495499938,23.234271376736853,9.290937797465274,10260,749,62142,171,0,0,0,133,15,2,29.084000000001833,2.7194285714285855,0.8986486486486487
7,1859.3579999999993,1845.057999999999,182,0.9189642405553939,24.814838119321962,10.315093869429369,10920,866,82091,180,0,2,0,144,9,2,31.242000000002108,1.8794583333333479,0.9411764705882353
8,1532.8760000000013,1507.325999999999,158,0.9079366696687292,31.85420132778538,11.763123064000899,9480,962,95425,157,0,1,0,122,5,3,26.224000000001414,2.1075737704918147,0.9606299212598425
9,1705.7510000000007,1690.9509999999993,164,0.8970414296327045,38.72707252596681,12.590053503009363,9840,1060,114619,164,0,0,0,127,3,2,27.84900000000162,1.372039370078753,0.9769230769230769
10,1512.194000000001,1510.094,165,0.886276932477112,25.50933723649518,10.242994779914316,9900,1172,138834,161,2,2,0,126,17,1,27.106000000001465,2.6810000000000116,0.8811188811188811
11,1145.8170000000005,1106.3169999999993,135,0.8756416092873867,28.819135099056144,8.251420373857757,8100,1263,165340,134,0,1,0,106,12,4,23.483000000000864,3.860216981132084,0.8983050847457628
12,1292.4180000000006,1256.9680000000005,161,0.865133909975938,32.14662135486138,9.223729189928026,9660,1352,194081,161,0,0,0,125,18,4,27.98200000000158,4.100656000000012,0.8741258741258742
13,1331.1090000000006,1292.0089999999998,148,0.8547523030562267,36.19185970149733,12.169696402281255,8880,1425,216932,148,0,0,0,111,6,4,26.591000000001397,2.8728918918919044,0.9487179487179487
14,849.7949999999996,823.345,149,0.844495275419552,21.62288799509406,8.931289027014568,8940,1528,245627,146,0,3,0,113,40,3,24.205000000000982,6.9487168141593,0.738562091503268
15,1464.7530000000015,1435.7030000000004,154,0.8343613321145175,30.051130790710932,6.809381685318884,9240,1620,287357,154,0,0,0,122,6,4,26.4470000000013,2.6659590163934537,0.953125
16,1339.0730000000005,1321.0230000000004,146,0.8243489961291433,32.177535186968235,11.123046948934254,8760,1698,317966,144,2,0,0,116,16,2,23.827000000000957,3.197646551724146,0.8787878787878788
17,1539.429000000002,1537.8289999999995,160,0.8144568081755935,37.198889430903364,6.519602976789076,9600,1791,357316,155,1,4,0,121,11,1,26.97100000000134,2.029512396694226,0.9166666666666666
18,751.7460000000001,712.6459999999996,133,0.8046833264774864,33.52529880497955,8.902422293086996,7980,1864,392191,132,0,1,0,103,34,4,23.75400000000091,7.216058252427193,0.7518248175182481
19,1471.1380000000004,1452.7380000000003,168,0.7950271265597566,25.550915042390226,5.441217678312271,10080,1957,428909,165,1,2,0,130,21,2,28.462000000001655,3.4527846153846284,0.8609271523178808
20,1073.8390000000002,1044.0890000000002,135,0.7854868010410395,27.18691410856942,6.853627579418229,8100,2039,474115,135,0,0,0,106,20,3,22.96100000000078,4.492084905660385,0.8412698412698413
21,1409.0280000000005,1381.127999999999,154,0.776060959428547,33.7999562092198,8.643185873645725,9240,2103,515741,153,1,0,0,121,9,4,26.972000000001433,3.0245619834710866,0.9307692307692308
22,1329.913000000001,1303.6629999999996,144,0.7667482279154044,33.202023909427226,7.069645778476088,8640,2165,562441,143,0,1,0,113,10,3,25.78700000000119,2.92112389380532,0.9186991869918699
23,966.6760000000004,937.2759999999997,137,0.7575472491804196,23.324867414079442,5.448853339940092,8220,2242,605375,137,0,0,0,106,27,3,23.52400000000089,5.503056603773593,0.7969924812030075
24,1592.177,1574.877,154,0.7484566821902545,32.88466602988396,8.55167146807625,9240,2312,662756,154,0,0,0,119,4,2,27.42300000000154,1.578344537815139,0.967479674796748
25,1205.3000000000006,1176.9500000000003,158,0.7394752020039714,27.458520993048065,6.313249725857868,9480,2391,716408,158,0,0,0,123,26,3,25.00000000000113,4.7130081300813105,0.825503355704698
26,1762.2620000000009,1745.7619999999997,175,0.7306014995799238,33.81829078353942,10.806208256948562,10500,2482,773694,175,0,0,0,137,6,2,30.738000000002007,1.69881751824819,0.958041958041958
27,1215.567000000001,1188.1669999999997,150,0.7218342815849648,27.534078151409826,4.824631390147739,9000,2563,831665,148,0,2,0,116,20,3,25.03300000000111,4.176146551724147,0.8529411764705882
28,1538.8710000000012,1520.0209999999993,183,0.7131722702059452,33.96903386372116,7.5292907689438495,10980,2646,894953,183,0,0,0,143,28,2,28.929000000001725,3.8890139860139983,0.8362573099415205
29,1067.72,1030.0699999999997,132,0.7046142029634739,28.85591005731487,7.432057990931502,7920,2705,950359,130,1,1,0,104,16,4,22.480000000000743,4.493076923076931,0.8666666666666667
30,1607.7650000000017,1588.1149999999993,167,0.6961588325279122,30.200753163546324,5.377537505069891,10020,2777,1003076,167,0,0,0,131,13,2,28.13500000000165,2.497977099236654,0.9097222222222222
31,1187.8440000000012,1161.7439999999992,147,0.6878049265375773,29.361208902811313,6.948925729646704,8820,2841,1062584,144,1,2,0,113,19,3,25.456000000001087,4.134123893805319,0.8560606060606061
32,933.948000000001,905.0479999999995,142,0.6795512674191264,27.464229829255228,5.37203302730417,8520,2911,1120229,142,0,0,0,111,34,3,24.852000000001116,6.225693693693704,0.7655172413793103
33,962.0699999999997,913.2200000000004,130,0.6713966522100969,28.653212515737575,5.3799390671803415,7800,2969,1172201,128,1,1,0,103,19,5,21.430000000000454,5.465339805825248,0.8442622950819673
34,1233.6480000000004,1206.398,143,0.6633398923835757,27.595510060944548,6.558968862328496,8580,3041,1227724,141,0,2,0,113,16,3,24.352000000000988,3.728778761061956,0.875968992248062
35,1303.0410000000018,1287.2909999999993,155,0.6553798136749728,29.66076824559019,6.301051013854242,9300,3105,1280339,154,0,1,0,118,18,2,26.759000000001386,3.4488050847457745,0.8676470588235294
36,1171.7500000000011,1154.2499999999993,159,0.6475152559108731,22.94969187098198,4.943703540766014,9540,3179,1337189,158,0,1,0,126,36,2,26.05000000000126,5.343253968253978,0.7777777777777778
37,208.04600000000005,147.39599999999984,107,0.6397450728399426,23.635288424128404,8.210232627726047,6420,3243,1374975,107,0,0,0,85,46,6,19.25400000000021,11.964164705882355,0.648854961832061
38,1283.4230000000016,1256.0230000000004,152,0.6320681319658633,29.68256255478206,5.130416287926205,9120,3300,1447124,152,0,0,0,119,17,3,26.277000000001294,3.7107310924369856,0.875
39,1538.0430000000003,1525.042999999999,152,0.6244833143822729,32.72657874791491,5.410665684729292,9120,3381,1503985,148,0,4,0,119,5,2,26.95700000000144,1.781151260504214,0.9596774193548387
40,758.7330000000004,720.1329999999996,132,0.6169895146096857,21.164469633096207,4.576059177547994,7920,3449,1547638,130,0,2,0,101,32,4,22.267000000000667,7.042247524752483,0.7593984962406015
41,1516.6050000000012,1501.3050000000003,162,0.6095856404343695,23.83981733796773,5.090853773124914,9720,3518,1616511,160,0,2,0,129,16,2,25.59500000000124,2.8945348837209397,0.8896551724137931
42,414.39299999999986,385.843,113,0.602270612749157,26.611964225620692,9.775045411776652,6780,3585,1674087,112,0,1,0,90,45,4,18.60700000000008,10.006744444444445,0.6666666666666666
43,1207.6520000000005,1167.2519999999997,142,0.5950433653961672,25.96882548478996,2.523334450676967,8520,3623,1738666,142,0,0,0,110,13,4,24.54800000000102,3.839527272727282,0.8943089430894309
44,964.4480000000001,938.5479999999998,140,0.5879028450114132,22.233243371799055,1.9114835107042678,8400,3680,1787182,138,0,2,0,106,25,3,23.852000000000917,5.288226415094348,0.8091603053435115
45,1059.0189999999996,1030.069,146,0.5808480108712762,29.01616040258732,6.8598160932597505,8760,3729,1847272,146,0,0,0,114,29,3,24.181000000000967,5.403342105263166,0.7972027972027972
