episode,reward
1,-225.79099999999985
2,-527.6989999999998
3,-242.11900000000003
4,-341.62999999999994
5,-335.499
6,-440.4889999999999
7,41.73100000000002
8,-289.447
9,-181.96099999999996
10,-18.4549999999999
11,-33.16299999999991
12,-113.80899999999994
13,-1853.8779999999965
14,-1022.2929999999981
15,-280.1950000000001
16,-416.5390000000001
17,-1332.4319999999966
18,-48.116999999999976
19,-213.77699999999993
20,-486.9449999999998
21,-249.85099999999986
22,-1466.7539999999944
23,-18.0
24,-235.11
25,-1094.0529999999985
26,-820.5269999999989
27,-789.8929999999996
28,-333.23600000000016
29,-271.567
30,-1164.804999999994
31,-920.5349999999987
32,-333.81500000000005
33,-1335.2559999999949
34,-274.086
35,-450.92200000000025
36,-1063.975999999996
37,-502.82900000000063
38,-851.911999999999
39,-566.3230000000012
40,-538.6200000000002
41,-908.2929999999989
42,-18.01799999999998
43,-325.4870000000001
44,-138.50499999999985
45,-996.7469999999994
46,-3.3219999999999317
47,-1437.3679999999936
48,-1105.5099999999995
49,-654.9299999999996
50,-806.7469999999985
51,-303.826
52,-1333.526999999998
53,-1221.141999999996
54,-590.3460000000001
55,-656.1379999999998
56,-484.202
57,-566.2050000000004
58,-259.37100000000015
59,-931.7529999999999
60,-1593.5969999999961
61,11.970999999999947
62,-3.1960000000001685
63,-189.16000000000008
64,-773.3079999999994
65,-1614.678999999996
66,-902.752999999997
67,-513.592
68,-1361.0649999999976
69,-1168.0339999999976
70,-274.58099999999996
71,-1003.4359999999995
72,-1083.8309999999979
73,-1422.9589999999987
74,-1237.1079999999993
75,-108.03000000000004
76,-586.633
77,-305.785
78,-1032.0490000000002
79,-1333.1939999999986
80,-93.19700000000003
81,-108.28000000000017
82,-1172.4429999999945
83,-53.27499999999997
84,-499.4640000000001
85,-48.079999999999956
86,-962.4689999999998
87,-677.0680000000003
88,-168.30200000000025
89,-454.041
90,-153.4670000000001
91,-593.5180000000004
92,-906.3130000000003
93,-1253.9779999999973
94,-625.7130000000004
95,-78.09000000000006
96,-484.467000000001
97,-1611.912999999995
98,-1640.5879999999963
99,-1843.3759999999957
100,-807.4219999999995
101,-298.72700000000003
102,-709.001
103,-346.6930000000004
104,-393.3260000000002
105,-687.6689999999993
106,-1797.0349999999978
107,-439.339
108,-556.5550000000001
109,-835.4490000000003
110,-1050.136999999998
111,-497.7580000000004
112,-203.6040000000001
113,-1518.25799999999
114,-707.3420000000008
115,-549.9000000000007
116,-1052.5279999999993
117,-1681.9109999999944
118,-519.6980000000001
119,-962.8069999999971
120,-510.9770000000006
121,-476.46100000000087
122,-38.86799999999996
123,-168.36800000000008
124,-542.7670000000004
125,-123.66400000000012
126,-980.0609999999938
127,-354.9740000000002
128,-48.48799999999993
129,-1193.5149999999994
130,-607.9569999999998
131,-551.0070000000005
132,-580.8029999999997
133,-188.47599999999997
134,-402.9740000000006
135,-184.34599999999992
136,-986.9639999999995
137,-153.57100000000003
138,-684.445
139,-1190.726999999998
140,-514.9790000000003
141,-800.0389999999998
142,-731.1899999999996
143,-249.08699999999982
144,-1219.1829999999977
145,-1029.5549999999987
146,-63.290000000000056
147,-611.555000000001
148,-647.3730000000002
149,-1146.2369999999987
150,-304.54200000000003
151,-635.5920000000009
152,-1210.0619999999985
153,-310.1009999999998
154,-617.8990000000001
155,-1105.1459999999972
156,-1669.9869999999946
157,-814.6249999999987
158,-153.66800000000012
159,-123.29300000000006
160,-228.45600000000013
161,-1279.137999999999
162,-319.34100000000007
163,-680.3679999999989
164,-680.8230000000007
165,-243.89400000000023
166,-963.3359999999996
167,-317.623
168,-1602.7119999999964
169,-653.0600000000006
170,-1406.2469999999942
171,-159.7790000000003
172,-243.94499999999994
173,-1113.6139999999982
174,-481.6299999999999
175,-935.2449999999977
176,-48.41300000000001
177,-416.44600000000014
178,-1581.5739999999914
179,-1365.5479999999957
180,-334.2519999999999
181,-1559.5669999999952
182,-472.0500000000003
183,-620.9600000000003
184,-381.7080000000005
185,-878.3639999999986
186,-877.5679999999982
187,-1339.9829999999943
188,-889.9909999999995
189,-439.0130000000004
190,-941.4319999999988
191,-1516.1699999999905
192,-340.2720000000001
193,-735.8080000000001
194,-108.46899999999997
195,-355.613
196,-761.8810000000004
197,-612.3140000000011
198,-743.6059999999999
199,-419.9019999999998
200,-305.91
