episode,reward
1,-735.9889999999998
2,-325.8299999999999
3,-368.28900000000004
4,-313.5540000000001
5,-78.23600000000008
6,-593.632
7,-623.2580000000002
8,-324.23199999999997
9,-129.327
10,-249.72000000000003
11,-1023.0450000000006
12,-928.0829999999992
13,-494.5879999999999
14,-770.5310000000002
15,-215.07500000000016
16,-1011.3559999999983
17,-4.205999999999989
18,-210.26099999999994
19,-839.7439999999992
20,-726.5610000000007
21,-270.12199999999996
22,-369.6609999999999
23,-182.03900000000002
24,-1207.0829999999985
25,-418.5589999999996
26,-212.35399999999996
27,-483.2979999999999
28,-153.37599999999986
29,-907.1759999999986
30,-168.61899999999918
31,-281.56500000000017
32,-342.40100000000007
33,-613.797
34,-1303.9869999999964
35,-1376.7529999999954
36,-1520.8599999999972
37,-1138.392999999999
38,-730.0829999999996
39,-416.99800000000033
40,-1002.2439999999998
41,-335.1159999999999
42,-233.61700000000002
43,-517.8240000000004
44,-324.69399999999996
45,-1272.839999999997
46,-190.24499999999998
47,-1089.2549999999987
48,-254.56099999999972
49,-399.51900000000006
50,-1125.9559999999974
51,-768.909
52,-551.366000000001
53,-984.4400000000002
54,-769.4320000000002
55,-317.442
56,-381.96699999999987
57,-385.10900000000004
58,-370.9550000000002
59,-616.5480000000009
60,-901.2289999999981
61,-993.1179999999983
62,-802.5929999999996
63,-104.61999999999989
64,-324.1439999999999
65,-344.009
66,-326.23399999999987
67,-1064.5549999999973
68,-161.4620000000001
69,-401.59100000000024
70,-1236.291999999998
71,-145.4000000000002
72,-803.4109999999989
73,-1444.511999999996
74,-294.5319999999999
75,-169.1790000000001
76,-294.97299999999984
77,-671.5449999999996
78,-414.7280000000002
79,-157.63900000000012
80,-93.16500000000002
81,-422.58700000000044
82,-266.5520000000002
83,-544.2750000000003
84,-360.82099999999997
85,-309.93700000000007
86,-408.65200000000004
87,-393.96200000000016
88,-412.7630000000002
89,-355.33500000000026
90,-469.9790000000003
91,-675.7280000000003
92,-286.22300000000007
93,-617.8330000000007
94,-355.0429999999999
95,-653.5330000000001
96,-229.18299999999996
97,-1656.5349999999967
98,-1395.231999999995
99,-212.34699999999992
100,-1218.4549999999967
101,-310.46600000000007
102,-288.03500000000014
103,-197.94199999999992
104,-180.9370000000001
105,-443.245
106,-343.3179999999998
107,-953.916999999999
108,-657.7899999999995
109,-218.5610000000001
110,-1019.5829999999997
111,-217.11600000000004
112,-1138.9759999999985
113,-1170.5309999999984
114,-1080.149
115,-411.42300000000006
116,-369.42399999999986
117,-380.1349999999999
118,-762.4729999999993
119,-247.76099999999994
120,-126.07499999999958
121,-435.8269999999998
122,-402.73
123,-618.4089999999999
124,-1344.297999999999
125,-701.3289999999998
126,-307.4980000000001
127,-596.0790000000001
128,-586.271
129,-710.0599999999998
130,-661.2739999999999
131,-546.8030000000008
132,-1483.9529999999966
133,-493.87900000000013
134,-1269.4699999999984
135,-365.68099999999987
136,-647.6949999999999
137,-508.07800000000066
138,-444.0760000000008
139,-1140.2319999999986
140,-1264.4449999999972
141,-3.9089999999997076
142,-1680.2949999999933
143,-436.1910000000005
144,-341.01800000000003
145,-477.3160000000008
146,-778.1810000000003
147,-926.0719999999997
148,-1248.5049999999956
149,-818.1449999999998
150,-1024.8279999999975
151,-1000.3589999999995
152,-1074.2669999999982
153,-202.0029999999997
154,-1325.0909999999992
155,-868.5399999999996
156,-554.2560000000013
157,-1037.6919999999993
158,-1033.7209999999986
159,-893.2559999999985
160,-383.1590000000004
161,-963.4579999999985
162,-671.0569999999982
163,-818.0869999999985
164,-357.2619999999999
165,-758.1879999999991
166,-775.4769999999996
167,-836.8919999999989
168,-720.4980000000002
169,-972.5489999999993
170,-153.6430000000001
171,-715.766999999999
172,-531.0610000000004
173,-813.3099999999996
174,-173.98700000000008
175,-173.48899999999972
176,-1035.9079999999997
177,-241.90599999999995
178,-315.2970000000001
179,-1060.196999999999
180,-506.7260000000007
181,-848.2340000000002
182,-1502.961999999997
183,-885.8249999999997
184,-349.9530000000001
185,-566.6110000000002
186,-141.56399999999985
187,-648.1169999999996
188,-287.7379999999998
189,-358.3830000000004
190,-963.341999999999
191,-1291.1169999999968
192,-434.0470000000002
193,-1138.5919999999978
194,-173.0649999999995
195,-1017.6519999999971
196,-1307.9029999999973
197,-300.9829999999998
198,-1358.532999999997
199,-840.1049999999998
200,-566.5740000000001
