episode,episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,-181.22400000000005,71,0.995,13.490422631600794,4.607573390010445,844,71,2,33,17,8,10.223999999999828,20.18557575757575,0.66
2,-779.0939999999999,75,0.990025,21.431546743487317,9.129126480620858,1066,146,41,39,63,8,11.913999999999783,34.846512820512814,0.38235294117647056
3,-76.28299999999994,92,0.985074875,13.553793460778568,8.897971507819854,1840,238,50,47,24,8,14.83299999999975,16.51346808510638,0.6619718309859155
4,-174.21399999999994,47,0.9801495006250001,15.957744549722113,9.153935810432156,940,285,50,23,7,8,8.053999999999872,22.35452173913043,0.7666666666666667
5,-570.7580000000002,66,0.9752487531218751,20.536818336413212,9.696989617709805,1320,351,39,42,51,8,11.297999999999805,28.11185714285714,0.45161290322580644
6,-10.260000000000048,70,0.9703725093562657,13.53968600503036,6.085944919987322,1176,421,13,35,8,8,9.96999999999983,15.147714285714281,0.813953488372093
7,-257.46200000000005,63,0.9655206468094844,17.229492186051274,6.611134638474188,812,484,12,35,24,8,10.491999999999814,22.068342857142852,0.5932203389830508
8,92.7999999999999,85,0.960693043575437,11.019952974884825,7.028789157079022,1618,569,18,42,8,8,11.639999999999814,12.667619047619045,0.84
9,-137.24099999999996,62,0.9558895783575597,15.387338681146502,9.457300223947891,1240,631,22,34,15,8,9.870999999999833,18.74032352941176,0.6938775510204082
10,-218.87400000000002,66,0.9511101304657719,16.997545577698585,9.14692206200238,1259,697,31,37,23,8,11.703999999999796,20.508216216216212,0.6166666666666667
11,-425.03200000000004,86,0.946354579813443,16.17713962495327,8.551368636382353,1720,783,75,46,46,8,12.93199999999977,24.020260869565213,0.5
12,-226.67200000000003,70,0.9416228069143757,12.935771489702166,7.456767824579562,1400,853,106,32,19,8,10.431999999999821,21.766624999999994,0.6274509803921569
13,173.84799999999976,115,0.9369146928798039,11.644886903788732,8.058340322357479,2300,968,183,60,19,8,16.621999999999794,11.76703333333333,0.759493670886076
14,-182.185,101,0.9322301194154049,12.505435688347362,7.300244786344137,2020,1069,158,46,29,8,12.774999999999833,18.523369565217386,0.6133333333333333
15,50.71899999999994,77,0.9275689688183278,13.057857090099292,7.389958839458356,1540,1146,78,42,10,8,11.810999999999789,13.433595238095233,0.8076923076923077
16,-390.52700000000004,72,0.9229311239742362,18.17162502448385,7.789918345691534,1440,1218,46,40,37,8,11.666999999999794,24.261674999999993,0.5194805194805194
17,-299.3860000000001,74,0.918316468354365,13.88427050864777,7.511064056332878,1480,1292,53,33,24,8,11.045999999999808,23.461999999999996,0.5789473684210527
18,-213.35100000000014,76,0.9137248860125932,15.77188161513033,7.721734788756521,1520,1368,87,43,27,8,12.570999999999774,19.145837209302318,0.6142857142857143
19,-166.02099999999984,67,0.9091562615825302,16.954552256571713,8.787919215591097,1340,1435,122,40,22,8,11.280999999999807,18.649524999999993,0.6451612903225806
20,-167.24399999999997,65,0.9046104802746175,13.05507680160495,6.839305193973705,1300,1500,96,30,13,8,10.013999999999829,20.237133333333325,0.6976744186046512
21,-250.84099999999995,48,0.9000874278732445,18.827937640870612,9.669831387752007,960,1548,112,28,16,8,9.690999999999837,23.421107142857135,0.6363636363636364
22,-326.14699999999993,84,0.8955869907338783,14.899154857155823,8.78670414991433,1680,1632,136,44,37,8,13.396999999999759,22.06811363636363,0.5432098765432098
23,-324.8000000000001,92,0.8911090557802088,13.07156525272876,8.071806191895968,1840,1724,169,41,34,8,12.599999999999778,22.551219512195118,0.5466666666666666
24,-418.32200000000006,76,0.8866535105013078,15.780842132376213,7.384591529362734,1520,1800,207,41,39,8,12.631999999999772,24.4690731707317,0.5125
25,-421.25999999999993,54,0.8822202429488013,19.662037052697055,9.816448767686746,1080,1854,228,28,28,8,9.769999999999834,29.68464285714285,0.5
26,-36.659999999999926,47,0.8778091417340573,19.48123376436056,10.624154710252473,940,1901,238,32,6,8,8.229999999999869,15.675937499999996,0.8421052631578947
27,-2.492999999999668,142,0.8734200960253871,12.666049271323521,7.918202466520312,2840,2043,223,72,46,7,20.25300000000038,14.753513888888895,0.6101694915254238
28,-150.8980000000001,79,0.8690529955452602,14.446658250227381,7.813439861902543,1580,2122,240,41,22,8,13.077999999999777,18.189707317073164,0.6507936507936508
29,-124.67200000000008,56,0.8647077305675338,14.511428559398544,7.641901489649898,1120,2178,258,30,10,8,9.121999999999847,18.65406666666666,0.75
30,-10.1520000000001,73,0.8603841919146962,12.383945294694133,6.952488608352127,1460,2251,280,37,9,8,12.13199999999979,14.865729729729726,0.8043478260869565
31,-250.50999999999993,67,0.8560822709551227,15.975343392856086,8.152647418415507,1340,2318,301,36,25,8,10.249999999999817,21.81805555555555,0.5901639344262295
32,-51.51900000000016,67,0.851801859600347,12.239925334869481,7.446372983305813,1340,2385,310,34,9,8,10.378999999999824,16.06997058823529,0.7906976744186046
33,-118.16400000000014,77,0.8475428503023453,13.836415695074898,7.521972737334329,1540,2462,300,38,18,8,11.723999999999798,17.97431578947368,0.6785714285714286
34,-304.39700000000005,78,0.8433051360508336,14.360576986406858,6.773877292208504,1560,2540,254,41,33,8,11.73699999999979,22.176512195121948,0.5540540540540541
35,-319.45399999999995,57,0.8390886103705794,18.562701659179048,8.298995196083233,1140,2597,248,30,24,8,9.393999999999844,25.646466666666658,0.5555555555555556
36,-177.33500000000012,82,0.8348931673187264,13.435304833894095,8.574793083157118,1640,2679,271,41,23,8,11.844999999999786,18.59134146341463,0.640625
37,-360.1320000000002,95,0.8307187014821328,14.75869494004077,7.9132869585976,1900,2774,303,46,40,8,14.211999999999799,22.174173913043475,0.5348837209302325
38,-75.29599999999999,75,0.8265651079747222,12.624613211502632,8.598819734329979,1500,2849,360,39,14,8,10.605999999999817,16.03092307692307,0.7358490566037735
39,151.34399999999988,87,0.8224322824348486,12.545976983575985,7.913662538013752,1740,2936,426,50,10,8,13.835999999999746,11.370719999999995,0.8333333333333334
40,19.932000000000073,65,0.8183201210226743,14.820984823600604,7.443134236275576,1300,3001,448,39,9,8,11.697999999999771,14.102512820512816,0.8125
41,15.884999999999906,72,0.8142285204175609,13.779069300740957,8.093458084855229,1440,3073,468,42,13,8,11.694999999999794,14.499880952380947,0.7636363636363637
42,-11.195999999999927,89,0.810157377815473,12.483955037120856,8.469573657917842,1780,3162,494,47,19,8,12.975999999999761,14.916510638297868,0.7121212121212122
43,-85.59200000000006,54,0.8061065909263957,14.734259340291223,8.717530992947934,1080,3216,492,31,9,8,9.341999999999839,17.598129032258058,0.775
44,-169.95199999999997,92,0.8020760579717637,13.751586941030363,8.609075767390998,1840,3308,509,46,29,8,14.021999999999778,18.474391304347822,0.6133333333333333
45,-417.46500000000003,66,0.798065677681905,19.78486359903984,8.844475100947205,1320,3374,510,40,40,8,11.634999999999836,25.310874999999996,0.5
46,-540.807,83,0.7940753492934954,19.420758934534458,9.6043489557186,1660,3457,499,50,57,8,12.416999999999788,25.414339999999992,0.4672897196261682
47,-312.58899999999994,71,0.7901049725470279,16.510831038821753,8.571604718464677,1420,3528,533,36,29,8,11.158999999999807,23.540527777777772,0.5538461538461539
48,-272.898,69,0.7861544476842928,13.641825965646168,7.451547002220741,1380,3597,542,33,23,8,10.787999999999816,22.96327272727272,0.5892857142857143
49,-5.429000000000116,67,0.7822236754458713,14.379537297829764,8.211278216443512,1340,3664,556,36,7,8,11.948999999999797,14.454138888888885,0.8372093023255814
50,-177.19800000000004,74,0.778312557068642,14.616297295342225,7.722197068672994,1480,3738,496,37,21,8,11.517999999999796,19.65183783783783,0.6379310344827587
51,60.96499999999997,81,0.7744209942832988,9.776530801514049,6.784267680076192,1620,3819,462,35,2,8,11.034999999999819,12.680999999999994,0.9459459459459459
52,-518.274,60,0.7705488893118823,21.791166703402997,10.539005258939385,1200,3879,472,38,44,8,11.823999999999794,28.242736842105256,0.4634146341463415
53,18.653000000000134,77,0.7666961448653229,13.828272673603776,8.2473267395896,1540,3956,495,42,12,8,11.976999999999789,14.197071428571425,0.7777777777777778
54,-160.80099999999993,68,0.7628626641409962,12.891750054214807,7.132601199959925,1360,4024,461,31,13,8,10.690999999999828,19.69970967741935,0.7045454545454546
55,-219.41399999999993,76,0.7590483508202912,14.021947479218637,6.763815475303656,1520,4100,475,42,27,8,12.58399999999977,19.62580952380952,0.6086956521739131
56,-522.9569999999999,60,0.7552531090661897,21.845283261251947,10.276137760139534,1200,4160,497,36,42,8,11.126999999999807,28.970194444444434,0.46153846153846156
