episode,reward
1,-76.10800000000009
2,-493.8560000000001
3,-116.83499999999992
4,-281.01300000000003
5,-500.94599999999997
6,-272.3960000000002
7,-243.88400000000001
8,-726.5409999999999
9,-195.61600000000004
10,-389.986
11,-511.77400000000006
12,-255.94199999999995
13,-381.8379999999999
14,-175.33299999999986
15,-153.9459999999999
16,-17.311000000000078
17,-990.461999999999
18,-182.0770000000001
19,-1173.9609999999998
20,-333.77900000000017
21,-573.202
22,-808.9390000000002
23,-93.52999999999997
24,-246.10299999999984
25,-1072.629999999998
26,-1783.373999999996
27,-1380.426999999996
28,-1175.345999999998
29,-1487.2099999999916
30,-836.1729999999999
31,-347.7350000000001
32,-1019.5359999999996
33,-971.1429999999986
34,-169.19199999999987
35,-650.2409999999999
36,-18.028999999999968
37,-115.37099999999997
38,-264.0339999999997
39,-701.9320000000001
40,-308.41899999999987
41,-571.0140000000001
42,-692.5539999999996
43,-183.24
44,-343.408
45,-318.9950000000001
46,-532.4889999999997
47,-823.7170000000001
48,-228.6079999999999
49,-748.2060000000002
50,-989.6509999999984
51,-915.3029999999997
52,-1115.489999999998
53,-624.7019999999995
54,-967.6319999999997
55,-317.7989999999999
56,-403.7119999999999
57,-332.36699999999996
58,-589.9950000000007
59,-945.116
60,-847.9829999999996
61,-686.1270000000009
62,-280.42899999999986
63,-1194.6630000000002
64,-417.40299999999996
65,-975.9979999999982
66,-582.4829999999994
67,-273.2389999999998
68,-1149.3629999999987
69,-184.36400000000003
70,-818.8760000000005
71,-501.4000000000002
72,-905.3569999999997
73,-981.6920000000003
74,-385.8719999999998
75,-1088.1829999999973
76,-369.7119999999999
77,-226.94300000000007
78,-503.2580000000001
79,-790.7439999999997
80,-448.06800000000015
81,-240.95800000000003
82,-297.8460000000001
83,-384.61299999999994
84,-324.36900000000014
85,-582.5260000000009
86,-1550.6779999999976
87,-386.4620000000001
88,-607.4160000000005
89,-261.48799999999966
90,-1168.2019999999993
91,-636.0979999999997
92,-220.66599999999977
93,-836.4819999999997
94,-400.40899999999976
95,-389.5350000000001
96,-281.5710000000001
97,-250.489
98,-605.4430000000002
99,-949.8229999999999
100,-537.4380000000003
101,-1405.773999999999
102,-941.9589999999998
103,-1366.5619999999997
104,-273.5909999999999
105,-182.66300000000035
106,-76.69300000000001
107,-321.9430000000002
108,-224.96000000000004
109,-31.24499999999992
110,-18.180999999999557
111,-241.62499999999972
112,-386.5610000000002
113,-1011.1679999999997
114,-790.9539999999995
115,-363.605
116,-436.226
117,-498.9560000000002
118,-203.16000000000022
119,-325.27100000000024
120,-373.17399999999986
121,-503.69599999999997
122,-303.31299999999993
123,-351.9420000000004
124,-292.2739999999998
125,-198.68
126,-393.3979999999999
127,-210.63700000000023
128,-177.52200000000013
129,-336.532
130,-2.7379999999995874
131,-206.64899999999992
132,-243.21699999999979
133,-114.57799999999988
134,-1283.788
135,-332.17599999999993
136,-153.438
137,-351.27000000000015
138,-281.77
139,26.682999999999964
140,-1262.0379999999989
141,-211.2879999999998
142,-871.0290000000003
143,-849.1849999999997
144,-262.577
145,-1156.5429999999992
146,-1093.4239999999984
147,-432.0479999999999
148,-1374.366999999999
149,-692.4959999999998
150,-550.7919999999999
151,-864.3979999999997
152,-839.7239999999988
153,-477.7309999999998
154,-315.0590000000001
155,-386.22099999999955
156,-206.1210000000002
157,-268.054
158,-325.4180000000001
159,-856.0089999999996
160,-927.1270000000004
161,-562.6540000000003
162,-563.4639999999999
163,-721.7580000000003
164,-282.171
165,-374.07400000000007
166,-229.86200000000014
167,-258.296
168,-467.92400000000004
169,-831.9529999999988
170,-653.3699999999998
171,-575.514
172,-307.091
173,-295.4930000000003
174,-586.893
175,-76.17300000000009
176,-1208.8609999999978
177,-316.23499999999984
178,-143.36400000000003
179,-250.3930000000001
180,-1148.8469999999993
181,-1202.4099999999978
182,-249.16700000000003
183,-415.653
184,-296.7419999999998
185,-308.3739999999999
186,-538.6860000000007
187,-305.306
188,-705.7159999999997
189,-431.2589999999998
190,-251.176
191,-411.36399999999986
192,-517.6909999999997
193,-1355.9629999999975
194,-823.8259999999984
195,-1192.4549999999974
196,-356.71100000000024
197,-692.2469999999994
198,-1044.156999999998
199,-316.82599999999985
200,-772.155
