episode,reward
1,-76.10800000000009
2,-222.35400000000007
3,-59.88400000000016
4,-255.43900000000002
5,-195.86799999999982
6,-311.10799999999995
7,-124.51300000000003
8,51.34400000000005
9,-63.16300000000008
10,-153.07900000000004
11,-702.9670000000004
12,-888.145
13,-671.3760000000001
14,-331.826
15,-439.49400000000026
16,-424.54900000000043
17,-619.0120000000003
18,-445.8140000000002
19,-91.2360000000001
20,-791.1090000000004
21,-160.07299999999995
22,-843.1680000000001
23,-78.07099999999996
24,-654.7279999999996
25,-400.325
26,-475.9310000000004
27,-404.8260000000004
28,-821.239
29,-698.3609999999996
30,-432.4060000000002
31,-417.1900000000002
32,-605.2800000000005
33,-340.48800000000006
34,-3.377000000000109
35,-137.333
36,-200.90300000000002
37,-65.32900000000002
38,-761.2420000000004
39,-63.52299999999994
40,-289.759
41,-264.68499999999995
42,-341.516
43,-371.5300000000003
44,-221.87200000000007
45,-400.5380000000001
46,-18.06900000000013
47,-56.9409999999999
48,-150.60299999999995
49,-685.2629999999999
50,-383.411
51,-777.3060000000005
52,-220.44000000000005
53,-663.8170000000001
54,-252.4099999999998
55,-569.3809999999999
56,-300.72399999999993
57,-281.3380000000001
58,-199.85300000000007
59,-165.143
60,-297.204
61,-219.24300000000022
62,-407.01399999999995
63,-78.67499999999987
64,-382.703
65,-309.711
66,-347.10100000000006
67,-30.513999999999825
68,-8.341000000000022
69,-475.70400000000035
70,-520.0820000000004
71,-715.281
72,-642.3470000000002
73,-1327.556999999999
74,-223.07899999999995
75,-316.43500000000006
76,-158.39699999999988
77,-467.014
78,-1016.6179999999979
79,-251.835
80,-370.1750000000001
81,-271.1059999999996
82,-278.5010000000001
83,-450.9370000000003
84,-521.4710000000005
85,-526.3230000000005
86,-424.3299999999997
87,-370.0350000000005
88,-1021.5619999999981
89,-803.5160000000003
90,-265.176
91,-865.3899999999988
92,-224.61499999999987
93,-1213.342
94,-678.5869999999998
95,-288.5200000000002
96,-1276.2379999999973
97,-325.042
98,-443.3800000000002
99,-258.6509999999999
100,-264.9460000000001
101,-644.6840000000002
102,-123.87000000000003
103,-1423.334999999996
104,-325.00600000000003
105,-1238.0559999999973
106,-406.99500000000023
107,-1165.021999999998
108,-844.5699999999995
109,-270.3249999999999
110,-349.19999999999993
111,-743.480000000001
112,-300.828
113,-1171.5569999999989
114,-204.58600000000013
115,-587.7699999999998
116,-128.89200000000005
117,-618.3440000000007
118,-420.56399999999996
119,-672.2920000000001
120,-669.0790000000002
121,-881.0789999999989
122,-215.12700000000007
123,-48.420000000000016
124,-234.55299999999994
125,-806.5610000000007
126,-243.62500000000006
127,-354.30499999999984
128,-597.0080000000005
129,-490.318
130,-643.152
131,-1055.0879999999988
132,-571.9330000000009
133,-587.0820000000001
134,-511.4220000000005
135,-519.387
136,-396.4280000000001
137,-93.40399999999988
138,-63.39799999999988
139,-398.56199999999984
140,-581.900000000001
141,-889.2779999999992
142,-1427.5249999999955
143,-673.495000000001
144,-271.427
145,-3.1180000000001513
146,-550.8480000000006
147,-848.6099999999989
148,-1500.0309999999977
149,-400.88000000000034
150,-797.7489999999995
151,-1400.5919999999962
152,-996.2919999999997
153,-655.5619999999993
154,-588.1320000000009
155,-880.9479999999988
156,-139.86899999999997
157,-999.8739999999987
158,-1569.1599999999964
159,-944.3849999999989
160,-1475.1419999999966
161,-1067.1529999999987
162,-344.64300000000003
163,-60.953000000000344
164,-311.14199999999994
165,-377.3409999999999
166,-285.50699999999995
167,-1174.4699999999982
168,-296.3320000000003
169,-353.03100000000035
170,-332.78499999999997
171,-761.6480000000006
172,-346.817
173,-194.1060000000001
174,-485.69200000000023
175,-276.43200000000013
176,-1256.8719999999983
177,-1174.8209999999976
178,-254.34200000000016
179,-784.6220000000003
180,-568.661
181,-204.5530000000002
182,-153.46000000000004
183,-337.542
184,-188.71299999999985
185,-627.0140000000004
186,-227.52699999999976
187,-1643.2429999999958
188,-211.51599999999996
189,-306.33799999999974
190,-897.5529999999997
191,-610.5660000000004
192,-228.67200000000003
193,-671.9749999999999
194,-1134.6650000000002
195,-1068.0519999999992
196,-34.59300000000009
197,-236.72100000000015
198,-440.7759999999997
199,-87.70299999999999
200,-337.7800000000001
