episode,reward
1,-307.18199999999985
2,-311.299
3,-83.53100000000003
4,-192.65299999999993
5,-47.57000000000019
6,-282.196
7,-479.706
8,-191.4329999999999
9,-264.02099999999996
10,-280.7029999999999
11,-442.05499999999984
12,-263.65200000000004
13,63.95100000000004
14,-388.9570000000001
15,-162.44299999999993
16,-359.083
17,-810.1229999999999
18,-303.564
19,-103.16900000000001
20,7.843000000000217
21,-361.08299999999986
22,-210.67100000000005
23,-334.78
24,-155.61000000000013
25,-465.64599999999984
26,-168.41299999999995
27,-663.3750000000001
28,-564.7620000000002
29,-969.2409999999999
30,-382.3119999999999
31,-179.31799999999993
32,-33.95900000000003
33,-235.26900000000003
34,-234.115
35,-259.01200000000006
36,-160.14
37,-1046.9850000000001
38,-348.89800000000014
39,-278.611
40,-205.35600000000014
41,-251.18699999999993
42,-627.1370000000005
43,26.949999999999903
44,-98.55400000000006
45,-100.05599999999988
46,-165.80899999999997
47,-296.0839999999999
48,-296.38
49,-130.09600000000006
50,-340.05999999999995
51,-212.11199999999994
52,-414.4040000000001
53,-150.151
54,-201.62399999999982
55,-226.4819999999998
56,-275.0709999999999
57,-249.11700000000008
58,-295.45399999999984
59,-246.64499999999998
60,-334.43399999999997
61,-334.749
62,-1030.4279999999983
63,-284.12100000000004
64,-1016.9919999999986
65,-334.162
66,-138.975
67,-224.86199999999997
68,-626.2130000000001
69,-416.25700000000006
70,-449.64800000000014
71,-174.745
72,-18.262000000000185
73,-385.8920000000005
74,-249.9049999999999
75,-370.297
76,-311.37199999999996
77,-369.188
78,-415.2919999999999
79,-485.8990000000002
80,-138.37900000000013
81,-113.67900000000003
82,-271.3750000000001
83,-122.3760000000001
84,-369.6760000000003
85,-359.64700000000005
86,-379.45300000000015
87,-477.67100000000016
88,-313.1229999999999
89,-95.19399999999996
90,-1360.2229999999984
91,-835.2799999999982
92,-1343.5609999999997
93,-261.24
94,-1159.5949999999982
95,-1145.6209999999999
96,-1268.8569999999984
97,-323.01500000000016
98,-1417.3079999999966
99,-1362.4479999999985
100,-300.12499999999994
101,-1244.2029999999975
102,-1473.338999999998
103,-545.1250000000011
104,-409.2969999999999
105,-1186.6399999999985
106,-497.52800000000036
107,-294.87899999999996
108,-1280.3419999999994
109,-169.4240000000002
110,-749.3039999999993
111,-329.7059999999999
112,-454.2700000000003
113,-1379.720999999998
114,-404.65200000000004
115,-49.27499999999995
116,-289.07800000000003
117,-42.9409999999998
118,-1005.905999999998
119,-123.57500000000013
120,-224.50599999999997
121,-469.927
122,-145.47099999999995
123,-470.9260000000001
124,-1147.5779999999988
125,-1100.1409999999985
126,-370.03399999999993
127,-423.6
128,-183.82299999999987
129,-172.42600000000007
130,-657.0999999999997
131,-234.28999999999982
132,-830.2569999999996
133,-437.75700000000006
134,-1270.6869999999983
135,-347.1180000000001
136,-157.85899999999984
137,-262.59799999999984
138,-810.1920000000003
139,-429.4240000000001
140,-262.62700000000007
141,-627.7290000000002
142,-718.8660000000004
143,-225.48700000000008
144,-402.39199999999965
145,-214.72899999999981
146,-1415.1969999999974
147,-196.4619999999997
148,-268.8919999999998
149,-595.7279999999998
150,-88.0269999999996
151,-287.4780000000003
152,-194.42099999999985
153,-18.526000000000014
154,-358.95499999999987
155,-175.82100000000028
156,-1138.1119999999964
157,-366.643
158,-355.88799999999975
159,-270.49299999999994
160,-108.8629999999999
161,-617.8370000000008
162,-8.895999999999972
163,-939.9929999999997
164,-159.55499999999984
165,-1260.4589999999957
166,-498.8280000000003
167,-236.98999999999995
168,-437.34600000000034
169,-109.06899999999997
170,-743.2850000000008
171,-399.20900000000006
172,-316.52999999999986
173,-1045.1199999999994
174,-637.682
175,-684.3100000000005
176,-787.9990000000005
177,-303.0079999999997
178,-154.7750000000002
179,-128.78499999999997
180,-362.0069999999998
181,-571.8220000000008
182,-260.3819999999996
183,-1136.6639999999984
184,-1052.967999999999
185,-152.65400000000022
186,-231.81800000000004
187,-203.83600000000033
188,-228.99500000000032
189,-261.50499999999977
190,-1279.8909999999971
191,-1143.1509999999967
192,-566.8610000000001
193,-1406.8759999999972
194,-518.4870000000004
195,-554.9310000000002
196,-191.6759999999997
197,-221.25800000000018
198,-274.75500000000005
199,-1414.5559999999994
200,-393.217
