episode,episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,25.087999999999937,64,0.995,12.07300007660524,5.593712695654705,692,64,28,33,4,8,9.831999999999834,14.237333333333329,0.8918918918918919
2,-81.677,75,0.990025,11.605240027283628,7.7225886835909145,1500,139,47,35,12,8,10.546999999999825,16.90134285714285,0.7446808510638298
3,-198.621,50,0.985074875,18.73313980072737,9.028937870448456,1000,189,69,26,12,8,8.550999999999856,22.636576923076916,0.6842105263157895
4,-86.83600000000015,73,0.9801495006250001,13.805232895461664,6.677278703472846,1460,262,15,35,13,8,10.785999999999849,17.33388571428571,0.7291666666666666
5,-237.5780000000001,48,0.9752487531218751,18.346208312354673,10.770003057916691,668,310,0,30,17,8,9.237999999999849,22.25126666666666,0.6382978723404256
6,-324.80200000000013,60,0.9703725093562657,17.736033172812313,6.572352279210929,585,370,13,33,27,8,9.531999999999842,24.68884848484848,0.55
7,-575.52,53,0.9655206468094844,24.767811256654138,10.958891427742518,1060,423,4,33,44,8,10.489999999999817,32.4390909090909,0.42857142857142855
8,-294.247,68,0.960693043575437,16.596397064626217,6.189100917101506,743,491,21,35,26,8,10.456999999999818,22.975914285714282,0.5737704918032787
9,-23.82099999999984,80,0.9558895783575597,13.843687449768186,8.218950497831683,1600,571,64,43,16,8,11.99099999999979,15.202116279069763,0.7288135593220338
10,-2.7859999999999445,100,0.9511101304657719,11.096919896174223,8.248413844846189,2000,671,126,53,23,8,14.145999999999741,14.483886792452825,0.6973684210526315
11,-225.5850000000001,58,0.946354579813443,16.099258725370827,9.015121748443324,1160,729,162,30,17,8,9.304999999999847,22.183499999999995,0.6382978723404256
12,-276.64000000000004,91,0.9416228069143757,15.72571435077423,8.451662783767866,1820,820,235,46,36,8,14.049999999999741,20.79239130434782,0.5609756097560976
13,-186.19600000000003,67,0.9369146928798039,14.8595223350645,8.912968828248333,1340,887,282,34,18,8,10.425999999999823,20.033117647058816,0.6538461538461539
14,-260.954,85,0.9322301194154049,15.62312946185908,8.114862265792839,1700,972,348,45,34,8,13.303999999999757,20.573422222222217,0.569620253164557
15,-622.1610000000002,101,0.9275689688183278,16.296227792019742,7.835255142946793,2020,1073,392,46,58,8,14.410999999999815,28.08719565217391,0.4423076923076923
16,-174.98900000000015,132,0.9229311239742362,12.843522649738148,7.37004948404413,2640,1205,432,63,45,8,18.75900000000011,17.456492063492064,0.5833333333333334
17,-250.33599999999984,75,0.918316468354365,15.225813508530457,8.274170313024275,1500,1280,482,39,27,8,11.84599999999979,21.031948717948715,0.5909090909090909
18,-670.4269999999999,93,0.9137248860125932,16.9832366055118,8.156120979225122,1860,1373,548,41,57,8,13.536999999999761,30.98139024390243,0.41836734693877553
19,64.25800000000012,76,0.9091562615825302,9.686868475259919,7.997157203156109,1520,1449,601,34,2,8,9.801999999999834,12.958882352941172,0.9444444444444444
20,-129.2849999999999,73,0.9046104802746175,13.174041157741456,8.159612374538428,1460,1522,658,36,15,8,11.044999999999808,17.75402777777777,0.7058823529411765
21,-252.0370000000001,72,0.9000874278732445,13.635430416790769,5.845416155343668,1440,1594,688,33,22,8,11.786999999999791,22.481424242424232,0.6
22,-270.99000000000007,58,0.8955869907338783,16.182551791666654,8.275961484583416,1160,1652,723,31,21,8,9.779999999999834,23.415483870967737,0.5961538461538461
23,-143.55199999999996,85,0.8911090557802088,11.74611764033051,6.263111599344103,1700,1737,768,40,21,8,11.991999999999788,18.209799999999994,0.6557377049180327
24,-132.18400000000008,82,0.8866535105013078,13.920609796874043,7.4021929420621655,1640,1819,789,40,21,8,11.923999999999797,18.175599999999996,0.6557377049180327
25,-355.67600000000004,62,0.8822202429488013,15.749129133959931,8.286396305389221,1240,1881,818,28,24,8,10.10599999999983,27.521642857142847,0.5384615384615384
26,-244.48399999999987,61,0.8778091417340573,15.173213261255963,7.7302451949032225,1220,1942,859,31,20,8,9.363999999999843,22.88270967741935,0.6078431372549019
27,-517.6049999999999,61,0.8734200960253871,21.685950869816494,9.425328783758108,1220,2003,887,37,42,8,9.844999999999835,28.31202702702702,0.46835443037974683
28,-106.52399999999994,103,0.8690529955452602,13.84631062528679,6.177421742805182,2060,2106,855,53,32,8,15.223999999999775,16.911773584905657,0.6235294117647059
29,-84.77400000000007,84,0.8647077305675338,14.147904698337827,7.5860893475302005,1680,2190,835,47,24,8,13.003999999999776,16.48093617021276,0.6619718309859155
30,-139.33799999999997,64,0.8603841919146962,14.227249994815793,6.71512879794027,1280,2254,886,34,16,8,9.217999999999842,19.094647058823526,0.68
31,-110.98400000000004,64,0.8560822709551227,14.668406264449004,4.9007423901348375,1280,2318,937,34,14,8,10.893999999999822,18.261588235294113,0.7083333333333334
32,-165.377,72,0.851801859600347,14.282347307230035,6.1087977381216145,1440,2390,962,40,22,8,11.586999999999797,18.632174999999997,0.6451612903225806
33,-26.25900000000005,61,0.8475428503023453,14.271491811412279,6.706239284098636,1220,2451,994,35,9,8,10.478999999999816,15.605114285714281,0.7954545454545454
34,-198.34400000000002,81,0.8433051360508336,12.752765541114373,7.435071824359949,1620,2532,964,39,24,8,11.933999999999788,19.826512820512814,0.6190476190476191
35,285.7750000000003,105,0.8390886103705794,11.835514236809242,7.122831487118132,2100,2637,1027,60,12,8,15.164999999999718,9.984416666666663,0.8333333333333334
