episode,reward
1,-226.87999999999997
2,-738.103
3,-1304.1619999999978
4,-586.0740000000005
5,-991.5709999999987
6,-164.25799999999992
7,-479.9070000000006
8,-119.35499999999999
9,-64.30300000000011
10,-1017.942999999998
11,-106.13200000000006
12,-444.89400000000103
13,-249.955
14,-185.81599999999983
15,-752.8250000000007
16,-454.74800000000045
17,-628.018000000001
18,-609.3400000000008
19,-828.3999999999996
20,-783.9929999999998
21,-529.9060000000013
22,-718.0969999999996
23,-123.76500000000009
24,-414.2080000000002
25,-444.3090000000012
26,-1209.5939999999994
27,-364.4219999999999
28,-1020.5719999999978
29,-256.75200000000007
30,-165.88400000000024
31,-586.0350000000007
32,-265.30100000000004
33,-1113.1229999999978
34,-523.3649999999998
35,-1209.0759999999973
36,-1046.3009999999997
37,-174.24899999999997
38,-252.45999999999967
39,-309.1909999999999
40,-753.7920000000001
41,-480.5940000000003
42,-1450.6519999999962
43,-158.45200000000006
44,-1131.8779999999942
45,-841.0139999999985
46,-218.80300000000017
47,-394.14499999999987
48,-232.7159999999999
49,-520.5780000000001
50,-1204.4799999999982
51,-490.6910000000004
52,-157.11000000000018
53,-369.67599999999993
54,-108.50299999999994
55,-769.6909999999999
56,-768.5030000000005
57,-853.2699999999987
58,-1591.6859999999951
59,-655.7030000000003
60,-1448.2929999999951
61,-1280.7239999999981
62,-108.37500000000016
63,-875.4110000000011
64,-53.31999999999999
65,-475.38700000000017
66,-531.3670000000009
67,-63.01499999999999
68,-715.0080000000003
69,-878.657
70,-183.473
71,-722.9649999999999
72,-530.002
73,-183.58500000000006
74,-1351.2989999999966
75,-708.7690000000001
76,-228.67499999999978
77,-1506.9909999999968
78,-394.071
79,-476.59600000000125
80,-18.07699999999997
81,26.90399999999999
82,-173.70300000000003
83,-48.27799999999999
84,-510.05100000000004
85,-1380.5289999999984
86,-847.0609999999995
87,-333.76800000000014
88,-536.2790000000014
89,-1060.9309999999994
90,-1067.1029999999987
91,-399.27100000000013
92,-1049.5209999999963
93,-1648.7879999999968
94,-830.7050000000014
95,-288.423
96,-1512.1709999999955
97,-1113.2909999999986
98,-1441.8459999999968
99,-364.4060000000002
100,-1085.4079999999997
101,-954.8639999999998
102,-949.9809999999993
103,-1032.1139999999982
104,-454.7159999999999
105,-470.39200000000096
106,-200.08999999999995
107,-775.1790000000005
108,-1083.0909999999956
109,-1219.538999999997
110,-1471.2139999999958
111,-168.38500000000005
112,-905.7309999999999
113,-536.442
114,-258.3879999999999
115,-887.508999999999
116,-416.6150000000001
117,-190.0250000000001
118,-339.548
119,-445.2670000000002
120,-652.5600000000004
121,-592.3100000000004
122,-641.3120000000009
123,-837.6269999999992
124,-987.051999999999
125,-453.9070000000002
126,-1071.279999999999
127,-18.305000000000092
128,-1361.498999999992
129,-1218.332999999997
130,-724.9290000000001
131,-1301.8539999999957
132,-510.5909999999999
133,-926.0990000000002
134,-1576.5289999999954
135,-1441.6549999999927
136,-685.5070000000002
137,-1083.3649999999946
138,-685.6219999999996
139,-621.5350000000005
140,-451.3700000000003
141,-1573.687999999996
142,-710.0989999999995
143,-1673.1999999999944
144,-782.8449999999998
145,-1203.5659999999975
146,-589.6240000000012
147,-662.67
148,-626.7100000000008
149,-424.40700000000015
150,-850.4479999999986
151,-1246.9119999999984
152,-310.2869999999999
153,-719.4269999999992
154,-1447.7299999999982
155,-474.08799999999985
156,-784.940000000001
157,-556.5620000000011
158,-202.363
159,-1013.6429999999981
160,-750.1219999999996
161,-1151.4549999999992
162,-991.5029999999997
163,-514.5650000000003
164,-514.1860000000006
165,-1122.3249999999996
166,-1001.4289999999983
167,-534.7360000000007
168,-469.3320000000007
169,-183.98599999999945
170,-1021.6419999999994
171,-475.57400000000007
172,-774.0169999999982
173,-1473.475999999998
174,-571.7540000000004
175,-641.3930000000006
176,-1060.6979999999983
177,-826.2339999999995
178,-439.5479999999999
179,-1393.3269999999977
180,-1100.311999999999
181,-767.8609999999999
182,-1172.2509999999988
183,-760.639
184,-812.8529999999992
185,-735.8389999999999
186,-363.8740000000002
187,-1277.0319999999979
188,-735.5749999999998
189,-902.7389999999994
190,-551.1819999999993
191,-881.4949999999989
192,-902.2379999999998
193,-544.8560000000001
194,-881.4949999999983
195,-1222.5289999999986
196,-1146.606999999997
197,-992.3849999999968
198,-490.637
199,-529.7910000000011
200,-1374.546999999996
