episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,1240.576000000001,1235.0760000000005,147,0.992,11.950981198404568,10.285840241328469,3975,146,128,147,0,0,0,115,17,3,25.02400000000112,3.821078260869575,0.8712121212121212
2,1363.2320000000009,1350.8319999999992,164,0.9840639999999999,12.829754407500575,10.890122994562475,4920,308,305,164,0,0,0,130,22,3,27.16800000000144,4.013600000000011,0.8552631578947368
3,1414.614000000001,1411.9139999999995,147,0.9761914879999999,12.147954160081488,10.523956958912398,4410,452,445,145,0,2,0,115,9,2,25.886000000001275,2.3511826086956633,0.9274193548387096
4,1593.3160000000012,1589.6159999999984,171,0.9683819560959999,14.033332294158159,10.639858664981801,5130,620,661,171,0,0,0,133,15,2,29.084000000001833,2.7194285714285855,0.8986486486486487
5,1734.8869999999997,1725.6869999999988,179,0.9606349004472319,13.370770985666434,10.076071718795784,5370,793,985,178,0,1,0,141,11,3,30.713000000002026,2.4830709219858296,0.9276315789473685
6,1532.8760000000013,1522.7759999999994,158,0.952949821243654,12.6466976126149,10.83561748004664,4740,947,1356,157,0,1,0,122,5,3,26.224000000001414,2.1075737704918147,0.9606299212598425
7,1705.7510000000007,1704.3510000000003,164,0.9453262226737048,13.479416770755495,10.699196248810466,4920,1105,1951,164,0,0,0,127,3,2,27.84900000000162,1.372039370078753,0.9769230769230769
8,910.2090000000003,897.7090000000002,137,0.9377636128923151,17.51986158637833,9.952765630428518,4110,1236,2623,135,1,1,0,108,32,3,22.2910000000007,6.109175925925932,0.7714285714285715
9,1244.7890000000002,1241.1889999999999,144,0.9302615039891766,17.50258428639629,10.063117937909231,4320,1372,3705,142,0,2,0,109,11,3,24.611000000001056,3.1670733944954224,0.9083333333333333
10,1292.4180000000006,1274.718,161,0.9228194119572632,19.998778727160108,10.647374867350171,4830,1523,4601,161,0,0,0,125,18,4,27.98200000000158,4.100656000000012,0.8741258741258742
11,1519.8360000000005,1516.7359999999994,155,0.9154368566616051,14.241966499724695,9.595648666094709,4650,1671,5476,153,0,2,0,116,5,2,27.564000000001617,1.768655172413807,0.9586776859504132
12,669.0830000000004,647.8830000000003,140,0.9081133618083123,15.313878688495606,8.762029473696437,4200,1805,7022,138,0,2,0,110,42,5,23.117000000000814,8.326518181818189,0.7236842105263158
13,1464.7530000000015,1452.553,154,0.9008484549138458,17.46850492216211,9.31567482452888,4620,1949,9302,154,0,0,0,122,6,4,26.4470000000013,2.6659590163934537,0.953125
14,1677.527,1690.0269999999998,161,0.893641667274535,12.41825719003606,7.578376420955973,4830,2104,12433,161,0,0,0,126,9,0,27.873000000001696,1.3688333333333467,0.9333333333333333
15,973.9290000000001,954.0289999999995,141,0.8864925339363386,15.913712608198642,7.2363679039844655,4230,2238,14652,139,0,2,0,106,21,4,24.47100000000094,5.245952830188688,0.8346456692913385
16,1327.836000000001,1316.536,158,0.8794005936648479,16.422400164818743,8.85861390145016,4740,2386,16681,157,0,1,0,121,18,3,28.064000000001585,3.7368925619834843,0.8705035971223022
17,1388.847000000001,1387.246999999999,169,0.8723653889155292,15.89227480710258,6.708821754530806,5070,2544,19748,168,0,1,0,127,21,2,28.85300000000172,3.5917559055118247,0.8581081081081081
18,1328.047000000001,1325.9469999999994,150,0.865386465804205,21.489294034118455,9.145797479099695,4500,2681,22355,147,1,2,0,113,13,2,25.45300000000114,2.893389380530983,0.8968253968253969
19,1409.0280000000005,1397.1279999999997,154,0.8584633740777713,17.843935158672174,10.280603313704074,4620,2823,24208,153,1,0,0,121,9,4,26.972000000001433,3.0245619834710866,0.9307692307692308
20,1072.1230000000012,1059.223,135,0.8515956670851491,15.410984450833942,9.473316137349165,4050,2949,26557,135,0,0,0,105,20,3,24.277000000000953,4.551209523809533,0.84
21,1223.077000000001,1210.8769999999993,150,0.8447829017484679,15.631909296140075,8.216785384019216,4500,3089,28789,148,0,2,0,114,17,3,25.92300000000126,3.87651754385966,0.8702290076335878
22,1592.177,1588.577,154,0.8380246385344802,14.044561773695825,9.638292211474793,4620,3230,30642,154,0,0,0,119,4,2,27.42300000000154,1.578344537815139,0.967479674796748
23,1205.3000000000006,1194.0999999999997,158,0.8313204414262043,15.127039031361383,8.61139818560725,4740,3375,33794,158,0,0,0,123,26,3,25.00000000000113,4.7130081300813105,0.825503355704698
