step,loss,accuracy,weighted_accuracy
1,1.8185395002365112,0.1171875,0.09257174283266068
100,0.6067673563957214,0.5859375,0.8769218921661377
200,0.23869994282722473,0.68359375,0.9584010243415833
300,0.12432659417390823,0.78125,0.9767788052558899
400,0.06754248589277267,0.76953125,0.9853034019470215
500,0.03837236762046814,0.8671875,0.996794581413269
600,0.027902109548449516,0.84765625,0.9948038458824158
700,0.022151131182909012,0.8828125,0.9966245889663696
800,0.017828166484832764,0.86328125,0.9965051412582397
900,0.014053314924240112,0.90625,0.9967049360275269
1000,0.013421652838587761,0.9375,0.9969106316566467
1100,0.008042539469897747,0.953125,0.9992094039916992
1200,0.008812230080366135,0.96875,0.9978908896446228
1300,0.014791739173233509,0.97265625,0.9955978989601135
1400,0.0067878724075853825,0.984375,0.9993222951889038
1500,0.011454319581389427,0.96875,0.9937275648117065
1600,0.007645619101822376,0.98046875,0.9988589882850647
1700,0.0025514084845781326,0.98046875,0.999644935131073
1800,0.0016125584952533245,1.0,1.0
1900,0.003831104841083288,0.9921875,0.9998819231987
2000,0.007840619422495365,0.98828125,0.9964237809181213
2100,0.008837035857141018,0.98828125,0.9967523217201233
2200,0.00219158292748034,0.9921875,0.9998756051063538
2300,0.0023634424433112144,1.0,1.0
2400,0.008448473177850246,0.9921875,0.99812251329422
2500,0.005807219073176384,0.9921875,0.9960313439369202
