row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,5282,42,60,-791.834,74,,,,
update,5376,42,61,,,27524.5546875,0.22193123400211334,55048.6875,1.1278129816055298
episode,5387,43,61,-947.91,105,,,,
episode,5497,43,62,-1272.4199999999998,110,,,,
update,5504,43,63,,,49931.34375,0.38850659132003784,99861.9375,1.1518433094024658
episode,5585,44,63,-1265.26,88,,,,
update,5632,44,64,,,47613.36328125,0.2517136335372925,95226.25,1.1684938669204712
episode,5692,45,64,-519.865,107,,,,
update,5760,45,65,,,39433.62890625,0.19923855364322662,78866.8828125,1.0590219497680664
episode,5771,46,65,-1525.3259999999996,79,,,,
episode,5844,46,66,-325.05600000000015,73,,,,
update,5888,46,67,,,14058.078125,0.2644776999950409,28115.654296875,1.354688286781311
episode,5945,47,67,-1120.115,101,,,,
update,6016,47,68,,,41503.6796875,0.392795205116272,83006.59375,1.0886949300765991
episode,6072,48,68,-834.1569999999999,127,,,,
update,6144,48,69,,,52863.50390625,0.21066252887248993,105726.609375,1.110604166984558
episode,6154,49,69,-1258.5029999999997,82,,,,
episode,6254,49,70,-1217.971,100,,,,
update,6272,49,71,,,47886.0546875,0.46024662256240845,95771.2109375,1.0439597368240356
episode,6362,50,71,-1293.591,108,,,,
update,6400,50,72,,,46636.234375,0.30367910861968994,93271.875,0.9148377776145935
episode,6452,51,72,-149.969,90,,,,
update,6528,51,73,,,11089.4140625,0.31196916103363037,22178.224609375,1.0141428709030151
episode,6541,52,73,-1147.522,89,,,,
update,6656,52,74,,,14219.3486328125,0.3458441495895386,28438.025390625,0.9920855164527893
episode,6673,53,74,-1214.822,132,,,,
episode,6767,53,75,-896.5189999999998,94,,,,
update,6784,53,76,,,43459.0625,0.2167442888021469,86917.71875,1.152231216430664
episode,6891,54,76,-1382.8560000000002,124,,,,
update,6912,54,77,,,54755.98828125,0.12485697865486145,109511.7421875,0.7046129703521729
episode,6979,55,77,-943.3930000000001,88,,,,
update,7040,55,78,,,32697.82421875,0.30338916182518005,65395.06640625,1.0923995971679688
episode,7075,56,78,-1548.4089999999999,96,,,,
update,7168,56,79,,,62158.109375,0.21718980371952057,124315.796875,0.904518723487854
episode,7184,57,79,-137.32299999999998,109,,,,
update,7296,57,80,,,13664.96484375,0.1334998607635498,27329.681640625,0.9580107927322388
episode,7302,58,80,-786.7769999999998,118,,,,
episode,7414,58,81,-570.821,112,,,,
update,7424,58,82,,,15966.27734375,0.20175494253635406,31932.169921875,0.9378560781478882
episode,7543,59,82,-729.3339999999998,129,,,,
update,7552,59,83,,,18819.888671875,0.3168415427207947,37639.1640625,0.9059010744094849
episode,7617,60,83,-391.1890000000001,74,,,,
update,7680,60,84,,,8863.2041015625,0.13260819017887115,17726.162109375,1.0166125297546387
episode,7723,61,84,-267.05700000000013,106,,,,
update,7808,61,85,,,5891.83154296875,0.17083680629730225,11783.33984375,0.9110491871833801
episode,7864,62,85,-316.27399999999994,141,,,,
update,7936,62,86,,,4997.78125,0.23654857277870178,9995.1064453125,0.8509707450866699
episode,7993,63,86,-205.21100000000015,129,,,,
update,8064,63,87,,,4497.369140625,0.11101430654525757,8994.5322265625,0.7958541512489319
episode,8145,64,87,-77.49099999999986,152,,,,
update,8192,64,88,,,1744.4739990234375,0.10425292700529099,3488.756103515625,0.8284386396408081
episode,8271,65,88,-139.5510000000003,126,,,,
update,8320,65,89,,,2817.21533203125,0.3747657537460327,5633.6943359375,0.6665726900100708
update,8448,66,89,,,3014.740234375,0.29293933510780334,6028.90234375,0.39798426628112793
episode,8541,67,89,-726.6680000000006,270,,,,
update,8576,67,90,,,1042.26318359375,0.566132664680481,2083.40234375,0.40948647260665894
update,8704,68,90,,,1187.126220703125,0.14557598531246185,2373.972412109375,0.5653008222579956
episode,8718,69,90,-184.7019999999997,177,,,,
episode,8812,69,91,-379.51499999999993,94,,,,
update,8832,69,92,,,10913.15234375,0.0746874287724495,21826.171875,0.8092405200004578
update,8960,70,92,,,573.480224609375,-0.0937376320362091,1147.1583251953125,0.5159784555435181
episode,8989,71,92,-236.34199999999993,177,,,,
update,9088,71,93,,,4075.990234375,0.027677398175001144,8151.93701171875,0.574111819267273
episode,9117,72,93,-205.1620000000002,128,,,,
update,9216,72,94,,,2657.872802734375,0.21158573031425476,5315.3359375,0.6823466420173645
episode,9285,73,94,-237.52299999999974,168,,,,
update,9344,73,95,,,3314.52734375,0.144466832280159,6628.77880859375,0.6541056036949158
episode,9470,74,95,-214.75199999999998,185,,,,
update,9472,74,96,,,3210.313232421875,-0.02979368530213833,6420.69384765625,0.3927035927772522
episode,9583,75,96,-210.59999999999985,113,,,,
update,9600,75,97,,,3825.34619140625,-0.09012225270271301,7650.888671875,0.7955507040023804
update,9728,76,97,,,2473.477294921875,-0.03964153304696083,4947.04296875,0.46553707122802734
update,9856,77,97,,,1457.6278076171875,-0.08452996611595154,2915.42578125,0.0661429688334465
update,9984,78,97,,,1329.0853271484375,0.003583164419978857,2658.1640625,0.03023427166044712
episode,10064,79,97,-1597.5389999999932,481,,,,
update,10112,79,98,,,1022.43115234375,0.2706347107887268,2044.3302001953125,0.45644235610961914
update,10240,80,98,,,2653.157958984375,-0.06741023063659668,5306.45556640625,0.2554877996444702
update,10368,81,98,,,1801.5987548828125,-7.867910426284652e-06,3603.197509765625,0.00032931985333561897
update,10496,82,98,,,1421.08544921875,0.00017051667964551598,2842.170654296875,0.0013205435825511813
episode,10529,83,98,-1586.2069999999944,465,,,,
update,10624,83,99,,,1219.0924072265625,-0.12706995010375977,2438.45166015625,0.6309205889701843
update,10752,84,99,,,1420.5399169921875,0.05068083480000496,2840.979736328125,0.05783531814813614
update,10880,85,99,,,1319.404541015625,8.567727491026744e-06,2638.80908203125,0.0001654976513236761
update,11008,86,99,,,2360.53369140625,5.076668116998917e-07,4721.0673828125,1.1174846804351546e-05
episode,11048,87,99,-1893.2539999999933,519,,,,
update,11136,87,100,,,1389.3680419921875,-0.14061062037944794,2779.02880859375,0.5728729367256165
update,11264,88,100,,,793.4623413085938,0.0009108833037316799,1586.925048828125,0.10831663757562637
update,11392,89,100,,,828.4033813476562,-0.008778796531260014,1656.824462890625,0.007184001617133617
update,11520,90,100,,,527.8933715820312,4.223576979711652e-06,1055.7867431640625,6.128007953520864e-05
episode,11603,91,100,-1484.0989999999936,555,,,,
update,11648,91,101,,,1353.83642578125,0.02294224314391613,2707.63330078125,0.3133517801761627
update,11776,92,101,,,663.1652221679688,0.10811411589384079,1326.1192626953125,0.25326383113861084
update,11904,93,101,,,1524.017822265625,0.001355035463348031,3048.032958984375,0.00423723878338933
update,12032,94,101,,,1099.4345703125,-0.0,2198.869140625,1.6007086287572747e-06
episode,12142,95,101,-1725.5489999999932,539,,,,
update,12160,95,102,,,1478.628173828125,-0.006693265400826931,2957.2734375,0.18103280663490295
update,12288,96,102,,,914.1522827148438,0.039656057953834534,1828.230712890625,0.27405238151550293
update,12416,97,102,,,1021.5782470703125,0.009713022038340569,2043.13720703125,0.0043176086619496346
update,12544,98,102,,,557.3566284179688,-0.0002889001043513417,1114.7138671875,0.0013140174560248852
update,12672,99,102,,,768.1300048828125,1.9820393504232925e-07,1536.260009765625,7.046311111480463e-06
episode,12674,100,102,-1614.2329999999945,532,,,,
update,12800,100,103,,,1184.1575927734375,-0.10862939059734344,2368.541748046875,0.4597790837287903
update,12928,101,103,,,1695.25,-0.024079997092485428,3390.548828125,0.03142061084508896
update,13056,102,103,,,506.3722839355469,-0.00010246555029880255,1012.7447509765625,0.0008038121159188449
update,13184,103,103,,,998.8663330078125,-2.7581056201597676e-05,1997.732666015625,0.0006013096426613629
episode,13198,104,103,-1510.153999999995,524,,,,
