epoch,loss,accuracy
1,2.1144401699066164,0.2015
2,1.95558128490448,0.2563
3,1.9100546615600587,0.2822
4,1.8846319709777832,0.294
5,1.862595991897583,0.305
6,1.8424056537628173,0.3136
7,1.820750064086914,0.323
8,1.7994932415008544,0.3367
