row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,5480,43,58,-994.442,105,,,,
update,5504,43,59,,,35545.328125,-104.43022155761719,71299.5390625,1.3299996852874756
episode,5559,44,59,-595.4480000000001,79,,,,
update,5632,44,60,,,15205.4482421875,-62.27138900756836,30535.46484375,1.2672150135040283
episode,5642,45,60,-153.06400000000008,83,,,,
episode,5733,45,61,-741.4010000000001,91,,,,
update,5760,45,62,,,23989.90625,-77.57978057861328,48135.0,1.3251266479492188
episode,5806,46,62,-403.277,73,,,,
update,5888,46,63,,,10163.0537109375,-66.64327239990234,20459.419921875,1.3176395893096924
episode,5902,47,63,-340.9330000000001,96,,,,
episode,6009,47,64,-1013.327,107,,,,
update,6016,47,65,,,35603.20703125,-169.17498779296875,71544.7890625,1.3587138652801514
episode,6092,48,65,-685.6249999999999,83,,,,
update,6144,48,66,,,17972.91796875,-94.49201202392578,36134.84375,1.248732566833496
episode,6151,49,66,-249.5780000000001,59,,,,
episode,6231,49,67,-631.6539999999999,80,,,,
update,6272,49,68,,,19028.888671875,-60.67253112792969,38179.1484375,1.4291094541549683
episode,6347,50,68,-95.74600000000011,116,,,,
update,6400,50,69,,,5998.41845703125,11.019325256347656,11974.8212890625,1.1673613786697388
episode,6409,51,69,-78.46300000000004,62,,,,
episode,6519,51,70,-56.33199999999999,110,,,,
update,6528,51,71,,,4990.0068359375,-2.3643980026245117,9984.7666015625,1.217769980430603
episode,6634,52,71,-249.19599999999986,115,,,,
update,6656,52,72,,,5344.4951171875,-27.78945541381836,10744.5908203125,1.070574164390564
episode,6727,53,72,-184.988,93,,,,
update,6784,53,73,,,5913.623046875,18.74148941040039,11789.78515625,1.1022906303405762
episode,6799,54,73,-220.67899999999997,72,,,,
episode,6897,54,74,-188.31800000000015,98,,,,
update,6912,54,75,,,8839.7763671875,-18.619028091430664,17716.81640625,1.238486647605896
episode,7039,55,75,-279.4929999999999,142,,,,
update,7040,55,76,,,8413.259765625,-27.28285026550293,16881.103515625,0.9175142049789429
episode,7161,56,76,-735.8129999999996,122,,,,
update,7168,56,77,,,15308.7421875,-87.18775939941406,30791.880859375,1.1125563383102417
episode,7273,57,77,-146.88000000000017,112,,,,
update,7296,57,78,,,5137.689453125,-10.528528213500977,10296.455078125,0.992732048034668
episode,7378,58,78,-225.24500000000006,105,,,,
update,7424,58,79,,,7971.52294921875,15.317122459411621,15912.431640625,0.968454122543335
episode,7515,59,79,-227.3839999999999,137,,,,
update,7552,59,80,,,3030.013427734375,-34.35563278198242,6128.755859375,0.8795005679130554
episode,7677,60,80,-311.7389999999998,162,,,,
update,7680,60,81,,,3304.638916015625,-29.930217742919922,6669.1533203125,0.7532696723937988
episode,7766,61,81,-385.0479999999997,89,,,,
update,7808,61,82,,,9568.166015625,-26.834617614746094,19190.01953125,0.9272334575653076
update,7936,62,82,,,1404.6317138671875,-2.490414619445801,2814.25634765625,0.6127899885177612
episode,8035,63,82,-528.5790000000003,269,,,,
update,8064,63,83,,,1848.636474609375,-7.271469593048096,3711.824951171875,0.45145201683044434
update,8192,64,83,,,1610.1256103515625,-1.5875582695007324,3223.434326171875,0.40624693036079407
episode,8201,65,83,-229.77799999999985,166,,,,
update,8320,65,84,,,619.9806518554688,9.438619613647461,1221.096923828125,0.6428565979003906
update,8448,66,84,,,2375.151123046875,-12.203521728515625,4774.712890625,0.17293334007263184
update,8576,67,84,,,3680.071044921875,-6.3945393562316895,7372.93212890625,0.04733128100633621
update,8704,68,84,,,3345.53515625,-0.07919200509786606,6691.228515625,0.008669909089803696
episode,8708,69,84,-2109.4319999999916,507,,,,
update,8832,69,85,,,1024.587890625,17.09206199645996,2015.0006103515625,0.4518607258796692
update,8960,70,85,,,2451.234130859375,-0.7093973755836487,4903.88818359375,0.05575549229979515
update,9088,71,85,,,860.9453735351562,-1.9215093851089478,1725.73486328125,0.05788172781467438
episode,9206,72,85,-1423.2119999999857,498,,,,
update,9216,72,86,,,607.3858642578125,-1.6603727340698242,1218.0965576171875,0.2039107233285904
update,9344,73,86,,,596.75244140625,13.180830955505371,1167.156982421875,0.6919434666633606
update,9472,74,86,,,1812.6724853515625,-6.480356693267822,3638.307373046875,0.0801943689584732
update,9600,75,86,,,754.365966796875,-0.14971841871738434,1509.031982421875,0.028459226712584496
episode,9717,76,86,-1383.4019999999878,511,,,,
update,9728,76,87,,,1290.578857421875,-0.01613898202776909,2581.1923828125,0.1249890848994255
update,9856,77,87,,,1121.2861328125,0.40963640809059143,2241.76025390625,0.36541175842285156
update,9984,78,87,,,956.225830078125,-1.4531217813491821,1915.3592529296875,0.06670154631137848
update,10112,79,87,,,1684.19140625,-0.06917749345302582,3368.521484375,0.014801975339651108
episode,10236,80,87,-1718.9299999999948,519,,,,
update,10240,80,88,,,1782.065185546875,-3.3109536170959473,3570.75341796875,0.06096728891134262
update,10368,81,88,,,1540.3505859375,5.451438903808594,3069.8056640625,0.36637774109840393
update,10496,82,88,,,499.6217041015625,-1.9781463146209717,1003.2008056640625,0.054014652967453
update,10624,83,88,,,2104.71484375,-5.842854022979736,4221.11572265625,0.017811859026551247
